id,lat,lon
GV1084,41.25809,-8.25736
GV1085,41.25743,-8.25693
GV1086,41.25736,-8.25699
GV1087,41.25731,-8.25692
GV1088,41.25727,-8.25691
GV1089,41.25724,-8.2569
GV1090,41.25721,-8.25692
GV1091,41.25718,-8.25689
GV1092,41.25713,-8.25685
GV1097,41.26384,-8.26485
GV1098,41.26351,-8.26507
GV1099,41.26351,-8.26514
GV1100,41.26339,-8.26513
GV1101,41.26338,-8.26507
GV1102,41.26487,-8.26531
GV1103,41.27942,-8.29635
GV1104,41.27924,-8.29629
GV1105,41.27928,-8.29674
GV1106,41.27922,-8.29692
GV1107,41.27926,-8.29714
GV1108,41.27932,-8.29733
GV1109,41.27921,-8.29743
GV1110,41.27931,-8.29763
GV1111,41.27949,-8.29767
GV1112,41.27963,-8.29736
GV1113,41.27958,-8.29786
GV1114,41.27905,-8.29805
GV1115,41.27903,-8.29815
GV1116,41.27898,-8.29813
GV1117,41.27882,-8.29819
GV1118,41.2789,-8.29761
GV1119,41.27901,-8.29758
GV1120,41.279,-8.29753
GV1121,41.27906,-8.29739
GV1122,41.27904,-8.29731
GV1123,41.27902,-8.2971
GV1124,41.27882,-8.30095
GV1125,41.27877,-8.30087
GV1126,41.27868,-8.30095
GV1127,41.27915,-8.30029
GV1128,41.27917,-8.30015
GV1129,41.27375,-8.30148
GV1130,41.27378,-8.30177
GV1131,41.27373,-8.30212
GV1132,41.2737,-8.30318
GV1133,41.2739,-8.30303
GV1134,41.27448,-8.29973
GV1135,41.28395,-8.28434
GV1136,41.28394,-8.28449
GV1137,41.28397,-8.28456
GV1138,41.28402,-8.2846
GV1139,41.28408,-8.28465
GV1140,41.28413,-8.28469
GV1141,41.28417,-8.28475
GV1142,41.28402,-8.28428
GV1143,41.28425,-8.28452
GV1144,41.28428,-8.28442
GV1145,41.28425,-8.28438
GV1146,41.28428,-8.28436
GV1147,41.28432,-8.2843
GV1148,41.28435,-8.28422
GV1149,41.28436,-8.28478
GV1150,41.28434,-8.28479
GV1151,41.28274,-8.28573
GV1152,41.28275,-8.28566
GV1153,41.28249,-8.28589
GV1154,41.28241,-8.28594
GV1155,41.28259,-8.28567
GV1156,41.28251,-8.28569
GV1157,41.28248,-8.28558
GV1158,41.28244,-8.28568
GV1159,41.28239,-8.28581
GV1160,41.28236,-8.28568
GV1161,41.28229,-8.28557
GV1162,41.28223,-8.28566
GV1163,41.28211,-8.28565
GV1164,41.282,-8.28573
GV1165,41.28191,-8.28569
GV1166,41.28182,-8.2857
GV1167,41.28167,-8.28556
GV1168,41.28165,-8.28546
GV1169,41.28175,-8.28548
GV1170,41.28187,-8.28549
GV1171,41.32819,-8.29712
GV1172,41.3268,-8.29567
GV1173,41.32677,-8.29562
GV1174,41.32675,-8.29567
GV1175,41.32642,-8.29558
GV1176,41.32545,-8.29522
GV1177,41.3254,-8.29517
GV1178,41.32686,-8.29602
GV1179,41.28016,-8.28599
GV1180,41.28019,-8.28599
GV1181,41.28022,-8.28592
GV1182,41.28026,-8.28595
GV1183,41.28014,-8.28612
GV1184,41.28019,-8.28608
GV1185,41.28022,-8.28611
GV1186,41.28036,-8.28608
GV1187,41.28038,-8.28595
GV1188,41.28037,-8.28592
GV1189,41.28039,-8.28585
GV1190,41.28043,-8.28581
GV1191,41.2805,-8.28583
GV1192,41.28058,-8.28582
GV1193,41.28059,-8.28578
GV1194,41.28057,-8.28576
GV1195,41.28052,-8.28575
GV1196,41.28055,-8.28573
GV1197,41.28085,-8.28574
GV1198,41.28089,-8.28567
GV1199,41.28094,-8.28562
GV1200,41.28098,-8.28556
GV1201,41.28079,-8.28569
GV1202,41.28113,-8.28552
GV1203,41.28122,-8.2855
GV1204,41.28574,-8.28331
GV1205,41.28574,-8.28338
GV1206,41.2857,-8.28348
GV1207,41.28567,-8.28354
GV1208,41.28572,-8.28353
GV1209,41.28575,-8.28348
GV1210,41.28586,-8.28352
GV1211,41.28588,-8.28345
GV1212,41.28586,-8.28374
GV1213,41.2857,-8.28362
GV1214,41.28575,-8.28373
GV1215,41.28574,-8.2838
GV1216,41.28567,-8.28379
GV1217,41.28573,-8.28389
GV1218,41.28568,-8.28398
GV1219,41.28566,-8.28419
GV1220,41.28572,-8.28418
GV1221,41.28567,-8.28481
GV1222,41.28562,-8.28482
GV1223,41.28673,-8.28581
GV1224,41.28642,-8.28571
GV1225,41.28624,-8.28555
GV1226,41.28687,-8.28589
GV1227,41.28695,-8.28599
GV1228,41.28702,-8.28607
GV1229,41.28716,-8.28617
GV1230,41.28721,-8.2862
GV1231,41.28726,-8.28622
GV1232,41.28733,-8.28626
GV1233,41.28738,-8.28631
GV1234,41.28755,-8.28636
GV1235,41.28764,-8.28636
GV1236,41.28682,-8.28383
GV1237,41.28682,-8.28376
GV1238,41.28624,-8.28346
GV1239,41.28618,-8.28335
GV1240,41.28605,-8.28315
GV1241,41.28589,-8.28314
GV1242,41.28579,-8.2831
GV1243,41.28573,-8.28305
GV1244,41.28577,-8.28301
GV1245,41.28581,-8.28318
GV1246,41.28589,-8.28332
GV1247,41.28594,-8.2833
GV1248,41.28605,-8.28326
GV1249,41.28608,-8.28336
GV1250,41.28782,-8.28532
GV1251,41.28827,-8.28632
GV1252,41.28856,-8.28642
GV1253,41.28885,-8.2865
GV1254,41.2887,-8.28659
GV1255,41.2886,-8.28667
GV1256,41.28869,-8.2867
GV1257,41.28855,-8.28656
GV1258,41.28931,-8.28688
GV1259,41.28949,-8.28678
GV1260,41.28956,-8.28677
GV1261,41.28963,-8.28676
GV1262,41.28966,-8.28664
GV1263,41.29056,-8.28599
GV1264,41.29078,-8.28583
GV1265,41.2905,-8.2863
GV1266,41.29081,-8.2865
GV1267,41.28836,-8.28742
GV1268,41.28801,-8.28719
GV1269,41.28783,-8.28725
GV1270,41.28771,-8.28714
GV1271,41.28718,-8.28726
GV1272,41.28724,-8.28717
GV1273,41.28728,-8.28708
GV1274,41.28716,-8.28711
GV1275,41.28707,-8.28722
GV1276,41.28697,-8.28708
GV1277,41.28683,-8.28712
GV1278,41.2868,-8.28721
GV1279,41.2867,-8.28728
GV1280,41.28685,-8.28734
GV1281,41.28663,-8.28717
GV1282,41.28654,-8.28717
GV1283,41.28654,-8.2872
GV1284,41.28649,-8.28717
GV1285,41.28649,-8.28725
GV1286,41.28641,-8.28717
GV1287,41.28637,-8.28708
GV1288,41.28659,-8.28728
GV1289,41.2866,-8.28736
GV1290,41.28635,-8.28738
GV1291,41.28513,-8.28698
GV1292,41.28498,-8.28698
GV1293,41.28491,-8.28693
GV1294,41.28487,-8.28688
GV1295,41.28483,-8.28685
GV1296,41.2848,-8.28677
GV1297,41.28474,-8.28671
GV1298,41.28468,-8.28664
GV1299,41.28477,-8.28656
GV1300,41.28469,-8.28654
GV1301,41.28472,-8.28636
GV1302,41.28469,-8.28628
GV1303,41.28477,-8.2863
GV1304,41.28483,-8.28637
GV1305,41.28481,-8.28644
GV1306,41.28504,-8.28647
GV1307,41.28509,-8.28661
GV1308,41.28512,-8.28663
GV1309,41.28513,-8.28678
GV1310,41.285,-8.28668
GV1311,41.28463,-8.28652
